Substance name,EC/List no.,CAS no.,BAS number,Product-type,Review Programme flag,New active substance flag,Annex I substance flag,Inclusion Category,Approval start date,Approval end date,Evaluating competent authority,Approval status,Assessment status,Assessment sub-status,Legal act,Link to legal act,R4BP asset number,Candidate for substitution,Factsheet URL,Related authorised biocidal products,RML ID,Substance information page
"2,2-dibromo-2-cyanoacetamide (DBNPA)",233-539-7,10222-01-2,1224,PT13-Working or cutting fluid preservatives,true,false,false,0,,,Denmark,No longer supported,,,Decision (EU) 2021/1283     ,http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32021D1283,-,Under assessment,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1224/PT13,0,100.030.477,https://echa.europa.eu/substance-information/-/substanceinfo/100.030.477
"2,2′,2′′-(hexahydro-1,3,5-triazine-1,3,5- triyl)triethanol (HHT)",225-208-0,4719-04-4,1222,PT06-Preservatives for products during storage,true,false,false,0,,,Poland,,Initial application for approval in progress,Competent authority evaluation,,,-,Under assessment,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1222/PT06,0,100.022.916,https://echa.europa.eu/substance-information/-/substanceinfo/100.022.916
"2,2′,2′′-(hexahydro-1,3,5-triazine-1,3,5- triyl)triethanol (HHT)",225-208-0,4719-04-4,1222,PT11-Preservatives for liquid-cooling and processing systems,true,false,false,0,,,Poland,,Initial application for approval in progress,Competent authority evaluation,,,-,Under assessment,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1222/PT11,0,100.022.916,https://echa.europa.eu/substance-information/-/substanceinfo/100.022.916
"2,2′,2′′-(hexahydro-1,3,5-triazine-1,3,5- triyl)triethanol (HHT)",225-208-0,4719-04-4,1222,PT12-Slimicides,true,false,false,0,,,Poland,,Initial application for approval in progress,Competent authority evaluation,,,-,Under assessment,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1222/PT12,0,100.022.916,https://echa.europa.eu/substance-information/-/substanceinfo/100.022.916
"2,2′,2′′-(hexahydro-1,3,5-triazine-1,3,5- triyl)triethanol (HHT)",225-208-0,4719-04-4,1222,PT13-Working or cutting fluid preservatives,true,false,false,0,,,Poland,,Initial application for approval in progress,Competent authority evaluation,,,-,Under assessment,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1222/PT13,0,100.022.916,https://echa.europa.eu/substance-information/-/substanceinfo/100.022.916
"2,2′-dithiobis[N-methylbenzamide] (DTBMA)",219-768-5,2527-58-4,1223,PT06-Preservatives for products during storage,true,false,false,0,,,Poland,,Initial application for approval in progress,Competent authority evaluation,,,-,Under assessment,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1223/PT06,0,100.017.971,https://echa.europa.eu/substance-information/-/substanceinfo/100.017.971
"2,3,5,6-tetrafluoro-4-(methoxymethyl) benzyl (EZ)-(1RS,3RS;1SR,3SR)- 2,2-dimethyl-3-prop-1-eny lcyclopropanecarboxylate",-,-,45,"PT18-Insecticides, acaricides and products to control other arthropods",false,true,false,0,01/05/2011,31/05/2032,Ireland,Approved,,,COMMISSION IMPLEMENTING REGULATION(EU) 2025/1248,http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32025R1248,EU-0005389-0000,Yes,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/45/PT18,2,100.373.674,https://echa.europa.eu/substance-information/-/substanceinfo/100.373.674
"2,3,5,6-tetrafluoro-4-(methoxymethyl) benzyl (EZ)-(1RS,3RS;1SR,3SR)- 2,2-dimethyl-3-prop-1-eny lcyclopropanecarboxylate",-,-,45,PT19-Repellents and attractants,false,true,false,0,,,United Kingdom,No longer supported,,,COMMISSION IMPLEMENTING DECISION (EU) 2022/2326,http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32022D2326,-,No,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/45/PT19,0,100.373.674,https://echa.europa.eu/substance-information/-/substanceinfo/100.373.674
2-(2-butoxyethoxy)ethyl 6-propylpiper-onyl ether (Piperonyl butoxide/PBO),200-076-7,51-03-6,1344,"PT18-Insecticides, acaricides and products to control other arthropods",true,false,false,0,01/07/2018,30/06/2028,Greece,Approved,,,Reg. (EU)2016/2288,http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32016R2288,EU-0015053-0000,No,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1344/PT18,35,100.000.070,https://echa.europa.eu/substance-information/-/substanceinfo/100.000.070
2-bromo-2-(bromomethyl)pentanedinitrile (DBDCB),252-681-0,35691-65-7,1226,PT06-Preservatives for products during storage,true,false,false,0,01/01/2018,31/12/2027,Czechia,Approved,,,Reg (EU)2016/1086,http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32016R1086,EU-0013659-0000,No,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1226/PT06,0,100.047.877,https://echa.europa.eu/substance-information/-/substanceinfo/100.047.877
"2-Butanone, peroxide",215-661-2,1338-23-4,1227,PT01-Human hygiene,true,false,false,0,,,Hungary,Not approved,,,Decision (EU) 2016/108,http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32016D0108,-,Under assessment,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1227/PT01,0,100.014.238,https://echa.europa.eu/substance-information/-/substanceinfo/100.014.238
"2-Butanone, peroxide",215-661-2,1338-23-4,1227,PT02-Disinfectants and algaecides not intended for direct application to humans or animals,true,false,false,0,,,Hungary,Not approved,,,Decision (EU) 2016/108,http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32016D0108,-,Under assessment,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1227/PT02,0,100.014.238,https://echa.europa.eu/substance-information/-/substanceinfo/100.014.238
