ID,CASRN,casregno,UID,EXP,ChemName,DEF,UVCB,FLAG,ACTIVITY
213,59-67-6,59676,,,3-Pyridinecarboxylic acid,,,,ACTIVE
214,59-85-8,59858,,,"Mercurate(1-), (4-carboxylatophenyl)chloro-, hydrogen",,,,INACTIVE
215,59-87-0,59870,,,"Hydrazinecarboxamide, 2-[(5-nitro-2-furanyl)methylene]-",,,,ACTIVE
216,59-88-1,59881,,,"Hydrazine, phenyl-, hydrochloride (1:1)",,,,ACTIVE
217,59-92-7,59927,,,"L-Tyrosine, 3-hydroxy-",,,,ACTIVE
218,59-97-2,59972,,,"1H-Imidazole, 4,5-dihydro-2-(phenylmethyl)-, hydrochloride (1:1)",,,,INACTIVE
219,60-00-4,60004,,,"Glycine, N,N'-1,2-ethanediylbis[N-(carboxymethyl)-",,,,ACTIVE
220,60-01-5,60015,,,"Butanoic acid, 1,2,3-propanetriyl ester",,,,ACTIVE
221,60-09-3,60093,,,"Benzenamine, 4-(2-phenyldiazenyl)-",,,,ACTIVE
222,60-10-6,60106,,,"Diazenecarbothioic acid, 2-phenyl-, 2-phenylhydrazide",,,,ACTIVE
223,60-11-7,60117,,,"Benzenamine, N,N-dimethyl-4-(2-phenyldiazenyl)-",,,,ACTIVE
224,60-12-8,60128,,,Benzeneethanol,,,,ACTIVE
225,60-18-4,60184,,,L-Tyrosine,,,,ACTIVE
226,60-19-5,60195,,,"Phenol, 4-(2-aminoethyl)-, hydrochloride (1:1)",,,,ACTIVE
227,60-24-2,60242,,,"Ethanol, 2-mercapto-",,,,ACTIVE
228,60-25-3,60253,,,"1,6-Hexanediaminium, N1,N1,N1,N6,N6,N6-hexamethyl-, chloride (1:2)",,,,ACTIVE
229,60-27-5,60275,,,"4H-Imidazol-4-one, 2-amino-1,5-dihydro-1-methyl-",,,,ACTIVE
230,60-29-7,60297,,,"Ethane, 1,1'-oxybis-",,,,ACTIVE
231,60-31-1,60311,,,"Ethanaminium, 2-(acetyloxy)-N,N,N-trimethyl-, chloride (1:1)",,,,ACTIVE
232,60-32-2,60322,,,"Hexanoic acid, 6-amino-",,,,ACTIVE
233,60-33-3,60333,,,"9,12-Octadecadienoic acid (9Z,12Z)-",,,,ACTIVE
234,60-34-4,60344,,,"Hydrazine, methyl-",,,,ACTIVE
235,60-35-5,60355,,,Acetamide,,,,ACTIVE
236,60-51-5,60515,,,"Phosphorodithioic acid, O,O-dimethyl S-[2-(methylamino)-2-oxoethyl] ester",,,,ACTIVE
237,60-56-0,60560,,,"2H-Imidazole-2-thione, 1,3-dihydro-1-methyl-",,,,ACTIVE
238,60-80-0,60800,,,"3H-Pyrazol-3-one, 1,2-dihydro-1,5-dimethyl-2-phenyl-",,,,ACTIVE
