CAS Number,CAS Name,Name,Approval
130201-53-5,"1,3,6-Naphthalenetrisulfonic acid, 7-[[2-[(aminocarbonyl)amino]-4-[[4-chloro-6-[[2-(2-hydroxyethoxy)ethyl]amino]-1,3,5-triazin-2-yl]amino]phenyl]azo]-, trisodium salt","1,3,6-Naphthalenetrisulfonic acid, 7-2-(aminocarbonyl)amino-4-4-chloro-6-2-(2-hydroxyethoxy)ethylamino-1,3,5-triazin-2-ylaminophenylazo-, trisodium salt",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
130201-55-7,"Benzenesulfonic acid, 3,3'-[[6-(4-morpholinyl)-1,3,5-triazine-2,4-diyl]bis[imino[2-(acetylamino)-4,1-phenylene]azo]]bis-, disodium salt","Benzenesulfonic acid, 3,3'-[[6-(4-morpholinyl)-1,3,5-triazine-2,4-diyl]bis[imino[2-(acetylamino)-4,1-phenylene]azo]]bis-, disodium salt",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
130201-57-9,"1,5-Naphthalenedisulfonic acid, 2-[[8-[[4-chloro-6-(ethylphenylamino)-1,3,5-triazin-2-yl]amino]-1-hydroxy-3,6-disulfo-2-naphthalenyl]azo]-, tetrasodium salt","1,5-Naphthalenedisulfonic acid, 2-8-4-chloro-6-(ethylphenylamino)-1,3,5-triazin-2-ylamino-1-hydroxy-3,6-disulfo-2-naphthalenylazo-, tetrasodium salt",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
130202-43-6,"1,3-Propanediol, 2-ethyl-2-(hydroxymethyl)-, polymer with 1,1'-methylenebis[4-isocyanatocyclohexane], caprolactam-blocked","1,3-Propanediol, 2-ethyl-2-(hydroxymethyl)-, polymer with 1,1'-methylenebis[4-isocyanatocyclohexane], caprolactam-blocked",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
130221-78-2,"1,3-Dioxolan-2-one, 4-[(1-propenyloxy)methyl]-","1,3-Dioxolan-2-one, 4-(1-propenyloxy)methyl-",Does not have an individual approval but may be used under an appropriate group standard
130-22-3,"2-Anthracenesulfonic acid, 9,10-dihydro-3,4-dihydroxy-9,10-dioxo-, monosodium salt","2-Anthracenesulphonic acid, 9,10-dihydro-3,4-dihydroxy-9,10-dioxo-, monosodium salt",Does not have an individual approval but may be used under an appropriate group standard
13022-83-8,"Pentanoic acid, 2-oxo-, sodium salt","2-Oxopentanoic acid, sodium salt",Does not have an individual approval but may be used under an appropriate group standard
1302-42-7,"Aluminate (AlO21-), sodium",Sodium aluminate,Does not have an individual approval but may be used under an appropriate group standard
130249-48-8,"Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-[(1-oxooctadecyl)oxy]-, ether with 2,2-bis(hydroxymethyl)-1,3-propanediol (4:1)",PEG 150,Does not have an individual approval but may be used under an appropriate group standard
1302-62-1,Almandine (Al2Fe3(SiO4)3),Almandine (Al2Fe3(SiO4)3),Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
1302-66-5,Petalite (AlLi(Si2O5)2),Petalite (AlLi(Si2O5)2),Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
1302-67-6,Spinel (Mg(AlO2)2),Spinel (Mg(AlO2)2),Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
1302-76-7,Kyanite (Al2O(SiO4)),Kyanite (Al2O(SiO4)),Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
1302-78-9,Bentonite,Bentonite,Does not have an individual approval but may be used under an appropriate group standard
1302-83-6,Lazurite,Lazurite,Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
1302-84-7,Chiolite (Na5(Al3F14)),Chiolite (Na5(Al3F14)),Does not have an individual approval but may be used under an appropriate group standard
1302-87-0,Clays,Clay,Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
130288-24-3,"Cyclopropa[c]pyrrolo[3,2-e]indole-6-carboxylic acid, 1,2,4,5,8,8a-hexahydro-4-oxo-2-[(5,6,7-trimethoxy-1H-indol-2-yl)carbonyl]-, methyl ester, (7bR)-","Cyclopropacpyrrolo3,2-eindole-6-carboxylic acid, 1,2,4,5,8,8a-hexahydro-4-oxo-2-(5,6,7-trimethoxy-1H-indol-2-yl)carbonyl-, methyl ester, (7bR)-",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
1302-93-8,Mullite (Al6O5(SiO4)2),Mullite (Al6O5(SiO4)2),Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
13031-32-8,"Methane-d3, nitro-",Nitromethane D3,Does not have an individual approval but may be used under an appropriate group standard
