CR No.,CAS No,Chemical Name,AICIS Approved Chemical Name (AACN),Molecular Formula,Defined Scope Of Assessment,Conditions Of Use,Specific Information Requirement,Prescribed Information
1019,77-83-8,"Oxiranecarboxylic acid, 3-methyl-3-phenyl-, ethyl ester",,C12H14O3,,,,
10190,8024-15-5,"Oils, Canada balsam",,Unspecified,,,,
10191,8024-22-4,Grape seed oil,,Unspecified,,,,
10192,8024-26-8,"Oils, Helichrysum",,Unspecified,,,,
10193,8024-32-6,Avocado oil,,Unspecified,,,,
10194,8024-35-9,"Essential oils, Australian sandalwood",,Unspecified,,,,
10195,8024-36-0,"Cucumber, juice",,Unspecified,,,,
10196,8024-37-1,"Oils, curcuma",,Unspecified,,,,
10197,8024-40-6,"Oils, galangal",,Unspecified,,,,
10198,8024-41-7,"Oils, geranium sur rose",,Unspecified,,,,
10199,8024-43-9,"Perfumes and essences, jasmin",,Unspecified,,,,
102,,"Toluene-2,4-diisocyanate, polymer with 2-methyl-2-propenoic acid, 2-hydroxyethyl ester, toluene-2,6-diisocyanate and polypropylene glycol tripropyl ether",,,,,,
1020,77-85-0,"1,3-Propanediol, 2-(hydroxymethyl)-2-methyl-",,C5H12O3,,,,
10200,8024-48-4,Casanthranol,,Unspecified,,,,
10202,8025-95-4,"Resins, oleo-, parsley",,Unspecified,,,,
10203,8026-83-3,Badiane,,Unspecified,,,,
10204,8027-33-6,"Alcohols, lanolin",,Unspecified,,,,
10206,8027-43-8,"Oils, birch bud",,Unspecified,,,,
10207,8027-46-1,"Raspberry, juice",,Unspecified,,,,
10208,8027-56-3,Liquid glucose,,Unspecified,,,,
1021,77-86-1,"1,3-Propanediol, 2-amino-2-(hydroxymethyl)-",,C4H11NO3,,,,
10210,8028-47-5,"Pyroligneous acids, extracts",,Unspecified,,,,
10211,8028-48-6,"Orange, sweet, ext.",,Unspecified,,,,
10212,8028-66-8,Honey,,Unspecified,,,,
10213,8028-76-0,"Oils, huon pine",,Unspecified,,,,
10214,8028-89-5,"Caramel, color",,Unspecified,,,,
10215,8029-43-4,"Syrups, corn",,Unspecified,,,,
10216,8029-44-5,"Glycerides, cottonseed oil, mono-",,Unspecified,,,,
10218,8029-76-3,"Lecithins, hydroxylated",,Unspecified,,,,
10219,8029-91-2,Acetylated hydrogenated lard glyceride,,Unspecified,,,,
1022,77-89-4,"1,2,3-Propanetricarboxylic acid, 2-(acetyloxy)-, triethyl ester",,C14H22O8,,,,
10220,8029-92-3,Acetylated lard glyceride,,Unspecified,,,,
10221,8030-12-4,"Tallow, hydrogenated",,Unspecified,,,,
10222,8030-28-2,"Oils, neroli, water",,Unspecified,,,,
10223,8030-30-6,Naphtha,,Unspecified,,,,
10224,8030-55-5,"Balsams, gurjun",,Unspecified,,,,
10225,8030-70-4,Manganese tallate,,Unspecified,,,,
10226,8030-78-2,"Quaternary ammonium compounds, trimethyl tallow alkyl, chlorides",,Unspecified,,,,
10227,8030-89-5,"Pyroligneous acids, reaction products with Et alc., distillates",,C2H6O.Unspecified,,,,
10228,8030-97-5,Pyroligneous acids,,Unspecified,,,,
10229,8031-00-3,"Oils, hay",,Unspecified,,,,
1023,77-90-7,"1,2,3-Propanetricarboxylic acid, 2-(acetyloxy)-, tributyl ester",,C20H34O8,,,,
10230,8031-03-6,"Oils, mimosa",,Unspecified,,,,
10231,8031-18-3,Fuller's earth,,Unspecified,,,,
10232,8031-44-5,"Lanolin, hydrogenated",,Unspecified,,,,
10233,8031-67-2,Royal jelly,,Unspecified,,,,
10234,8031-76-3,"Mistletoe, extract",,Unspecified,,,,
10235,8032-32-4,Ligroine,,Unspecified,,,,
10236,8036-11-1,Emulgade (emulsifying wax),,Unspecified,,,,
10237,8036-77-9,Polyoxyethylene (40) sorbitan lanolate,,Unspecified,,,,
10238,8037-19-2,"Fats and Glyceridic oils, tobacco seed",,Unspecified,,,,
10239,8037-47-6,Hydrofol glyceride 50/51,,Unspecified,,,,
1024,77-91-8,"Ethanaminium, 2-hydroxy-N,N,N-trimethyl-, salt with 2-hydroxy-1,2,3-propanetricarboxylic acid (1:1)",,C6H7O7.C5H14NO,,,,
10240,8038-65-1,Ambergris,,Unspecified,,,,
10241,8038-77-5,"Fats, bayberry",,Unspecified,,,,
10242,8038-93-5,Sodium aluminium chlorohydroxy lactate,,Unspecified,,,,
10243,8040-56-0,Ointment base No. 6,,Unspecified,,,,
10244,8042-47-5,White mineral oil (petroleum),,Unspecified,,,,
10245,8043-44-5,"9-Octadecenoic acid, 12-(sulfooxy)-, sodium salt, [R-(Z)]-",,C18H34O6S.xNa,,,,
10246,8044-71-1,Cetrimide,,Unspecified,,,,
10247,8045-34-9,"Octadecanoic acid, ester with 2,2-bis(hydroxymethyl)-1,3-propanediol",,C18H36O2.xC5H12O4,,,,
10248,8046-19-3,"Storax, balsam",,Unspecified,,,,
10249,8046-22-8,"Balsams, tonka bean",,Unspecified,,,,
1025,77-92-9,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-",,C6H8O7,,,,
10250,8046-59-1,"Sulfuric acid, barium salt (1:1), mixture with manganic acid (H2MnO4) barium salt (1:1)",,Unspecified,,,,
10251,8047-15-2,Saponins,,Unspecified,,,,
10252,8047-17-4,"Squill, tincture",,Unspecified,,,,
10253,8047-24-3,"Vanilla, tincture",,Unspecified,,,,
10256,8047-34-5,"Gum tragacanth, mixt. with 1,2,3-propanetriol",,C3H8O3.Unspecified,,,,
10257,8047-76-5,C.I. Pigment White 19,,Unspecified,,,,
10258,8047-99-2,"Benzenesulfonamide, N-ethyl-2(or 4)-methyl-",,C9H13NO2S,,,,
10259,8048-07-5,C.I. Pigment Yellow 35,,Unspecified,,,,
1026,77-93-0,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, triethyl ester",,C12H20O7,,,,
10260,8048-51-9,"Oils, petitgrain lemon",,Unspecified,,,,
10261,8048-52-0,"Acridinium, 3,6-diamino-10-methyl-, chloride, mixture with 3,6-acridinediamine",,C14H14N3.C13H11N3.Cl,,,,
10265,8049-47-6,Pancreatin,,Unspecified,,,,
10266,8049-84-1,C.I. Natural Green 3,,Unspecified,,,,
10267,8049-97-6,Melanins,,Unspecified,,,,
10268,8049-98-7,Milk,,Unspecified,,,,
10269,8050-07-5,Olibanum,,Unspecified,,,,
1027,77-94-1,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, tributyl ester",,C18H32O7,,,,
10270,8050-09-7,Rosin,,Unspecified,,,,
10271,8050-15-5,"Resin acids and rosin acids, hydrogenated, methyl esters",,Unspecified,,,,
10272,8050-25-7,"Resin acids and rosin acids, esters with triethylene glycol",,C6H14O4.,,,,
10273,21548-73-2,Silver sulfide (Ag2S),,Ag2S,,,,
10274,21564-17-0,"Thiocyanic acid, (2-benzothiazolylthio)methyl ester",,C9H6N2S3,,,,
10275,21587-74-6,"2,4,8,10-Tetraoxaspiro[5.5]undecane-3,9-dipropanamine",,C13H26N2O4,,,,
10277,21598-22-1,"Octadecanoic acid, 12-hydroxy-, barium salt (2:1)",,C18H36O3.1/2Ba,,,,
10279,21615-47-4,"Hexanoic acid, undecafluoro-, ammonium salt",,C6HF11O2.H3N,,,,
1028,77-95-2,"Cyclohexanecarboxylic acid, 1,3,4,5-tetrahydroxy-, [1R-(1.alpha.,3.alpha.,4.alpha.,5.beta.)]-",,C7H12O6,,,,
10280,21622-08-2,1-Cyclopentene-1-acetic acid,,C7H10O2,,,,
10281,21626-24-4,"Ferrate(1-), aqua[[N,N′-1,2-ethanediylbis[N-[(carboxy-.kappa.O)methyl]glycinato-.kappa.N,.kappa.O]](4-)]-, sodium (1:1), (PB-7-11′-121′3′3)-",,C10H14FeN2O9.Na,,,,
10282,21635-78-9,"Benzaldehyde, 4-((2-ethoxyethyl)ethylamino)-",,C13H19NO2,,,,
10283,21635-90-5,"1,4:5,8-Dimethanonaphthalene, 1,2,3,4,4a,5,8,8a-octahydro-",,C12H16,,,,
10284,21643-42-5,"2-Propenoic acid, tetradecyl ester",,C17H32O2,,,,
10285,21645-51-2,Aluminium hydroxide (Al(OH)3),,AlH3O3,,,,
10286,21646-20-8,"Benzenamine, 4,4'-methylenebis-, compound with sodium chloride (NaCl) (3:1)",,C13H14N2.1/3ClNa,,,,
10287,21651-19-4,Tin oxide (SnO),,OSn,,,,
10288,21652-27-7,"1H-Imidazole-1-ethanol, 2-(8-heptadecenyl)-4,5-dihydro-, (Z)-",,C22H42N2O,,,,
10289,21652-77-7,"p-Toluenesulfonic acid, (9-methyl-9-azabicyclo[3.3.1]non-3-ylidene)hydrazide sodium salt",,C16H23N3O2S.Na,,,,
1029,77-98-5,"Ethanaminium, N,N,N-triethyl-, hydroxide",,C8H20N.HO,,,,
10290,21653-40-7,"Pentanamide, 5-[(aminoiminomethyl)amino]-2-(benzoylamino)-N-(4-nitrophenyl)-, monohydrochloride, (S)-",,C19H22N6O4.ClH,,,,
10291,21654-66-0,"Acetamide, N,N'-(dimethylsilylene)bis[N-methyl-",,C8H18N2O2Si,,,,
10292,21661-97-2,"7-Decenal, (Z)-",,C10H18O,,,,
10293,21662-09-9,"4-Decenal, (Z)-",,C10H18O,,,,
10294,21662-13-5,"2,6-Dodecadienal, (E,Z)-",,C12H20O,,,,
10295,21662-15-7,"2,4-Dodecadienal, (E,Z)-",,C12H20O,,,,
10296,21662-16-8,"2,4-Dodecadienal, (E,E)-",,C12H20O,,,,
10297,21663-61-6,"Benzonitrile, 2,5-dichloro-",,C7H3Cl2N,,,,
10298,21668-81-5,"1-Propanesulfonic acid, 3-[(aminoiminomethyl)thio]-",,C4H10N2O3S2,,,,
10299,21676-01-7,"3-Hexene, 1-chloro-, (Z)-",,C6H11Cl,,,,
103,,"Toluene-2,4-diisocyanate, reaction product with toluene-2,6-diisocyanate, 2-hydroxyethyl methacrylate and hexanedioic acid, polymer with 2,2-dimethyl-1,3-propanediol and 1,6-hexanediol",,,,,,
1030,77-99-6,"1,3-Propanediol, 2-ethyl-2-(hydroxymethyl)-",,C6H14O3,,,,
10300,21679-31-2,"Chromium, tris(2,4-pentanedionato-O,O')-, (OC-6-11)-",,C15H21CrO6,,,,
10301,21679-46-9,"Cobalt, tris(2,4-pentanedionato-O,O')-, (OC-6-11)-",,C15H21CoO6,,,,
10302,21681-47-0,"1,4:5,8-Dimethanonaphthalene, 1,2,3,4,4a,5,8,8a-octahydro-2-methyl-",,C13H18,,,,
10303,21722-83-8,"Cyclohexaneethanol, acetate",,C10H18O2,,,,
10305,21734-43-0,"Benzamide, 3,5-dihydroxy-N-(2-hydroxyethyl)-",,C9H11NO4,,,,
10307,21778-29-0,"Dodecanoic acid, compound with morpholine (1:1)",,C12H24O2.C4H9NO,,,,
10308,21784-78-1,"Silicic acid (H2SiO3), nickel(2+) salt (1:1)",,H2O3Si.Ni,,,,
10309,21799-87-1,"Benzenesulfonic acid, 2,5-dihydroxy-, monopotassium salt",,C6H6O5S.K,,,,
1031,78-00-2,"Plumbane, tetraethyl-",,C8H20Pb,,,,
10310,21810-29-7,"9(10H)-Acridinone, 4-nitro-1-(phenylthio)-",,C19H12N2O3S,,,,
10311,21810-39-9,"Ethanaminium, N,N-diethyl-N-methyl-2-[(1-oxo-2-propenyl)oxy]-, methyl sulfate",,C10H20NO2.CH3O4S,,,,
10312,21811-64-3,"Phenol, 4,4'-[1,4-phenylenebis(azo)]bis-",,C18H14N4O2,,,,
10314,21834-92-4,"Benzeneacetaldehyde, .alpha.-(3-methylbutylidene)-",,C13H16O,,,,
10315,21835-00-7,"2-Cyclopenten-1-one, 2-hydroxy-3,4-dimethyl-",,C7H10O2,,,,
10316,21835-01-8,"2-Cyclopenten-1-one, 3-ethyl-2-hydroxy-",,C7H10O2,,,,
10317,21839-86-1,"2-Naphthalenecarboxamide, N-(4-chloro-2-methylphenyl)-3-hydroxy-4-[(2-methylphenyl)azo]-",,C25H20ClN3O2,,,,
10318,21850-44-2,"Benzene, 1,1'-(1-methylethylidene)bis[3,5-dibromo-4-(2,3-dibromopropoxy)-",,C21H20Br8O2,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
10319,21884-26-4,"Pentanoic acid, 4-oxo-, 1-methylethyl ester",,C8H14O3,,,,
1032,78-06-8,"6H-1,3,2-Oxathiastannin-6-one, 2,2-dibutyldihydro-",,C11H22O2SSn,,,,
10320,21889-27-0,"2-Naphthalenecarboxamide, 4-[(3-chlorophenyl)azo]-3-hydroxy-N-(2-methoxyphenyl)-",,C24H18ClN3O3,,,,
10321,21889-89-4,"7-Oxabicyclo[4.1.0]heptan-2-one, 6-methyl-",,C7H10O2,,,,
10322,25231-21-4,"Poly[oxy(methyl-1,2-ethanediyl)], .alpha.-octadecyl-.omega.-hydroxy-",,(C3H6O)nC18H38O,,,,
10323,25231-38-3,"Poly(oxymethylene), .alpha.-acetyl-.omega.-(acetyloxy)-",,(CH2O)nC4H6O3,,,,
10324,25231-47-4,"Phenol, bis(1,1-dimethylpropyl)-",,C16H26O,,,,
10325,25232-40-0,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with 1,3-butadiene",,(C5H8O2.C4H6)x,,,,
10326,25232-42-2,"1H-Imidazole, 1-ethenyl-, homopolymer",,(C5H6N2)x,,,,
10327,25238-98-6,"Phosphoric acid, dibutyl ester, potassium salt",,C8H19O4P.K,,,,
10328,25238-99-7,"Phosphoric acid, monobutyl ester, monopotassium salt",,C4H11O4P.K,,,,
10329,25243-36-1,"6H-Benzotriazolo[2,1-a]benzotriazol-5-ium, 1,3,7,9-tetranitro-, hydroxide, inner salt",,C12H4N8O8,,,,
1033,78-07-9,"Silane, triethoxyethyl-",,C8H20O3Si,,,,
10330,25249-54-1,"Poly[1-(2-oxo-1-pyrrolidinyl)-1,2-ethanediyl]",,(C6H9NO)n,,,,
10331,25249-59-6,"2-Propenoic acid, polymer with 1,1-dichloroethene and 2-propenenitrile",,(C3H4O2.C3H3N.C2H2Cl2)x,,,,
10332,25249-60-9,"Butanedioic acid, methylene-, polymer with 1,1-dichloroethene and methyl 2-propenoate",,(C5H6O4.C4H6O2.C2H2Cl2)x,,,,
10333,25252-92-0,"2-Naphthalenecarboxamide, N-(4-chloro-2,5-dimethoxyphenyl)-3-hydroxy-7-methoxy-",,C20H18ClNO5,,,,
10334,25254-23-3,"2-Naphthalenesulfonic acid, 7-[(4,6-dichloro-1,3,5-triazin-2-yl)amino]-4-hydroxy-3-[(4-methoxy-2-sulfophenyl)azo]-",,C20H14Cl2N6O8S2,,,,
10335,25263-97-2,"Tetradecanoic acid, 2-methylpropyl ester",,C18H36O2,,,,
10336,25265-15-0,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with 2-ethylhexyl 2-propenoate",,(C11H20O2.C5H8O2)x,,,,
10337,25265-17-2,"Formaldehyde, polymer with 5-amino-1,3,3-trimethylcyclohexanemethanamine and phenol",,(C10H22N2.C6H6O.CH2O)x,,,,
10338,25265-19-4,"2-Propenoic acid, polymer with 1,3-butadiene and 2-propenenitrile",,(C4H6.C3H4O2.C3H3N)x,,,,
10339,25265-71-8,"Propanol, oxybis-",,C6H14O3,,,,
1034,78-08-0,"Silane, ethenyltriethoxy-",,C8H18O3Si,,,,
10340,25265-75-2,Butanediol,,C4H10O2,,,,
10341,25265-77-4,"Propanoic acid, 2-methyl-, monoester with 2,2,4-trimethyl-1,3-pentanediol",,C12H24O3,,,,
10342,25266-02-8,"2,5-Furandione, polymer with 1-octadecene",,(C18H36.C4H2O3)x,,,,
10343,25266-46-0,"1,2-Benzenedicarboxylic acid, polymer with (Z)-2-butenedioic acid and 1,2-propanediol",,(C8H6O4.C4H4O4.C3H8O2)x,,,,
10344,25266-67-5,"2-Propenoic acid, polymer with 1,1-dimethylethyl 2-propenoate and ethene",,(C7H12O2.C3H4O2.C2H4)x,,,,
10345,25279-09-8,"7-Octen-2-ol, 2,6-dimethyl-, formate",,C11H20O2,,,,
10346,25280-35-7,"2-Butenedioic acid, (Z)-, dioctyl ester, polymer with ethenyl acetate and 2-ethylhexyl 2-propenoate",,(C20H36O4.C11H20O2.C4H6O2)x,,,,
10347,25280-53-9,"2,4-Imidazolidinedione, homopolymer",,(C3H4N2O2)x,,,,
10348,25290-13-5,"2-Propanone, 1-(1-hydroxycyclohexyl)-",,C9H16O2,,,,
10349,25300-73-6,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with 2-(1-oxa-4-azaspiro[4.5]dec-4-yl)ethyl 2-methyl-2-propenoate",,(C14H23NO3.C5H8O2)x,,,,
1035,78-09-1,"Ethane, 1,1',1'',1'''-[methanetetrayltetrakis(oxy)]tetrakis-",,C9H20O4,,,,
10350,25301-02-4,"Formaldehyde, polymer with oxirane and 4-(1,1,3,3-tetramethylbutyl)phenol",,(C14H22O.C2H4O.CH2O)x,,,,
10351,25301-37-5,"2-Propenoic acid, 2-methyl-, polymer with butyl 2-methyl-2-propenoate and ethenylbenzene",,(C8H14O2.C8H8.C4H6O2)x,,,,
10352,25302-81-2,"2-Propenoic acid, polymer with methyl 2-propenoate",,(C4H6O2.C3H4O2)x,,,,
10353,25304-14-7,"Ethanone, 1-(3,3-dimethylcyclohexyl)-",,C10H18O,,,,
10354,25305-93-5,"1-Naphthalenesulfonic acid, 6-[(4-aminophenyl)azo]-5-hydroxy-",,C16H13N3O4S,,,,
10355,25305-96-8,"Ethanaminium, N-[4-[[4-(diethylamino)phenyl][5-[(2,4-dinitrophenyl)amino]-2,4-disulfophenyl]methylene]-2,5-cyclohexadien-1-ylidene]-N-ethyl-, hydroxide, inner salt",,C33H35N5O10S2,,,,
10356,25306-75-6,"Carbonodithioic acid, O-(2-methylpropyl) ester, sodium salt",,C5H10OS2.Na,,,,
10357,25307-17-9,"Ethanol, 2,2'-(9-octadecenylimino)bis-",,C22H45NO2,,,,
10358,25311-20-0,"Benzenesulfonic acid, 4-[4-[[2,5-dimethoxy-4-[[2-(sulfooxy)ethyl]sulfonyl]phenyl]azo]-4,5-dihydro-3-methyl-5-oxo-1H-pyrazol-1-yl]-",,C20H22N4O12S3,,,,
1036,78-10-4,"Silicic acid (H4SiO4), tetraethyl ester",,C8H20O4Si,,,,
10360,25312-34-9,"3-Buten-2-ol, 4-(2,6,6-trimethyl-2-cyclohexen-1-yl)-, (3E)-",,C13H22O,,,,
10361,25316-59-0,"Benzenemethanaminium, N,N,N-tributyl-, bromide",,C19H34N.Br,,,,
10362,25317-07-1,"2-Naphthalenesulfonic acid, 6-amino-4-hydroxy-5-[[2-(phenylsulfonyl)phenyl]azo]-",,C22H17N3O6S2,,,,
10363,25317-10-6,"Methanaminium, N-[4-[[4-(dimethylamino)phenyl](2-hydroxy-3,6-disulfo-1-naphthalenyl)methylene]-2,5-cyclohexadien-1-ylidene]-N-methyl-, hydroxide, inner salt",,C27H26N2O7S2,,,,
10364,25317-20-8,"2,7-Naphthalenedisulfonic acid, 5-(acetylamino)-4-hydroxy-3-(phenylazo)-",,C18H15N3O8S2,,,,
10365,25317-34-4,"2-Naphthalenesulfonic acid, 5-[[4-(acetylamino)-2-sulfophenyl]azo]-6-amino-4-hydroxy-",,C18H16N4O8S2,,,,
10366,25317-39-9,"1,3-Naphthalenedisulfonic acid, 7-hydroxy-8-[[4-(phenylazo)phenyl]azo]-",,C22H16N4O7S2,,,,
10367,25320-93-8,".alpha.-D-Glucopyranoside, butyl",,C10H20O6,,,,
10368,25321-09-9,"Benzene, bis(1-methylethyl)-",,C12H18,,,,
10369,25321-14-6,"Benzene, methyldinitro-",,C7H6N2O4,,,,
1037,78-11-5,"1,3-Propanediol, 2,2-bis[(nitrooxy)methyl]-, dinitrate (ester)",,C5H8N4O12,,,,
10370,28554-24-7,"2-Propenoic acid, 2-ethylhexyl ester, polymer with methyl 2-propenoate",,(C11H20O2.C4H6O2)x,,,,
10372,28572-30-7,"1,3-Isobenzofurandione, polymer with 2,2-dimethyl-1,3-propanediol and 2,5-furandione",,(C8H4O3.C5H12O2.C4H2O3)x,,,,
10373,28572-98-7,"2-Propenoic acid, 2-methyl-, polymer with ethyl 2-methyl-2-propenoate",,(C6H10O2.C4H6O2)x,,,,
10374,28573-23-1,"2-Propenoic acid butyl ester, polymer with N-(1,1-dimethylethyl)-2-propenamide",,(C7H13NO. C7H12O2) x,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
10375,28573-66-2,"Benzenediazonium, 2,5-diethoxy-4-[(4-methylphenyl)thio]-, chloride, compound with zinc chloride (ZnCl2)",,C17H19N2O2S.xCl2Zn.Cl,,,,
10376,28574-50-7,"1,3-Isobenzofurandione, 4,5,6,7-tetrabromo-, polymer with 2,5-furandione and 1,2-propanediol",,(C8Br4O3.C4H2O3.C3H8O2)x,,,,
10377,28574-59-6,"2-Propenoic acid, 2-(dimethylamino)ethyl ester, homopolymer",,(C7H13NO2)x,,,,
10378,28574-90-5,"Hexane, 1,6-diisocyanato-, trimer",,(C8H12N2O2)3,,,,
10379,28588-73-0,"Furan, 3,3'-dithiobis[2,5-dimethyl-",,C12H14O2S2,,,,
1038,78-14-8,"Silicic acid (H4SiO4), tetraoctyl ester",,C32H68O4Si,,,,
10380,28588-74-1,"3-Furanthiol, 2-methyl-",,C5H6OS,,,,
10381,28588-75-2,"Furan, 3,3'-dithiobis[2-methyl-",,C10H10O2S2,,,,
10382,28588-76-3,"Furan, 3,3'-tetrathiobis(2-methyl)-",,C10H10O2S4,,,,
10383,28599-85-1,"2-Propenoic acid, methyl ester, polymer with sodium 2-propenoate (1:1)",,(C4H6O2.C3H4O2.Na)x,,,,
10384,28605-74-5,"Ethane, tetrachlorodifluoro-",,C2Cl4F2,,,,
10385,28606-01-1,"1H-Indoledisulfonic acid, 2-(1,3-dihydro-3-oxosulfo-2H-indol-2-ylidene)-2,3-dihydro-3-oxo-, potassium salt (1:3)",,C16H10N2O11S3.3K,,,,
10386,28629-66-5,"Zinc, bis(O,O-diisooctyl phosphorodithioato-.kappa.S,.kappa.S′)-",,C32H68O4P2S4Zn,,,,
10387,28630-33-3,"Silane, dichlorodimethyl-, polymer with dichlorodiphenylsilane, trichloromethylsilane and trichlorophenylsilane",,(C12H10Cl2Si.C6H5Cl3Si.C2H6Cl2Si.CH3Cl3Si)x,,,,
10388,28630-48-0,"2-Propenoic acid, 2-methyl-, polymer with butyl 2-propenoate, ethenylbenzene and 2-methyl-2-propenamide",,(C8H8.C7H12O2.C4H7NO.C4H6O2)x,,,,
10389,28631-63-2,"Benzenesulfonic acid, 2(or 4)-(1-methylethyl)-",,C9H12O3S,,,,
1039,78-16-0,"Heptanoic acid, 2-ethyl-2-[[(1-oxoheptyl)oxy]methyl]-1,3-propanediyl ester",,C27H50O6,,,,
10390,28631-66-5,"Benzenesulfonic acid, aminomethyl[[4-[(sulfophenyl)amino]phenyl][4-[(sulfophenyl)imino]-2,5-cyclohexadien-1-ylidene]methyl]-, disodium salt",,C32H27N3O9S3.2Na,,,,
10391,28631-86-9,"Ethanone, 1-phenyl-, dihydroxy derivative",,C8H8O3,,,,
10392,28633-45-6,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, iron(3+) salt",,C6H8O7.xFe,,,,
10393,28645-51-4,Oxacycloheptadec-10-en-2-one,,C16H28O2,,,,
10394,28650-65-9,"2-Propenoic acid, ethyl ester, polymer with ethenylbenzene,formaldehyde and 2-propenamide",,(C8H8.C5H8O2.C3H5NO.CH2O)x,,,,
10395,28651-63-0,"Acrylic acid, polymer with acrylonitrile, butyl acrylate, ethyl acrylate and methacrylamide",,(C7H12O2.C5H8O2.C4H7NO.C3H4O2.C3H3N)x,,,,
10396,28651-74-3,"2-Propenoic acid, 2-ethylhexyl ester, polymer with 1,1-dichloroethene and 2-propenenitrile",,(C11H20O2.C3H3N.C2H2Cl2)x,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
10397,28652-44-0,"2-Butenedioic acid (2E)-, polymer with 2,2′-oxybis[ethanol] and 3a,4,7,7a-tetrahydro-1,3-isobenzofurandione",,(C8H8O3.C4H10O3.C4H4O4)x,,,,
10398,28652-54-2,"Cyclohexanol, ethynyl-",,C8H12O,,,,
10399,28652-72-4,"1,1'-Biphenyl, methyl-",,C13H12,,,,
104,,"Toluene-2,4-diisocyanate, reaction product with toluene-2,6-diisocyanate, 2-hydroxypropyl methacrylate, 1-methyl-2-hydroxyethyl methacrylate, 4,4'-(1-methylethylidene)bis(cyclohexanol), polytetramethylene glycol ether",,,,,,
1040,78-18-2,"Cyclohexanol, 1-[(1-hydroperoxycyclohexyl)dioxy]-",,C12H22O5,,,,
10400,28654-73-1,"Copper, [N,N,N',N',N'',N''-hexaethyl-29H,31H-phthalocyaninetrimethanaminato(2-)-N29,N30,N31,N32]-",,C47H49CuN11,,,,
10401,28655-62-1,"Benzenemethanol, (2-propenyloxy)-",,C10H12O2,,,,
10402,28655-63-2,"Xylene-.alpha.,.alpha.'-diol, ar-(allyloxy)-",,C11H14O3,,,,
10404,28660-67-5,"Stannane, dibutylbis[(1-oxotetradecyl)oxy]-",,C36H72O4Sn,,,,
10405,28664-35-9,"2(5H)-Furanone, 3-hydroxy-4,5-dimethyl-",,C6H8O3,,,,
10406,28672-98-2,"1-Propyne-1-sulfonic acid, sodium salt",,C3H4O3S.Na,,,,
10407,28677-93-2,"1-Propanol, methoxy-",,C4H10O2,,,,
10408,28678-15-1,"Zinc, bis[bis(chlorophenyl)phosphinodithioato-S,S']-",,C24H16Cl4P2S4Zn,,,,
10409,28679-45-0,"2-Propenoic acid, polymer with butyl 2-propenoate, ethene and ethenyl acetate",,(C7H12O2.C4H6O2.C3H4O2.C2H4)x,,,,
1041,78-19-3,"2,4,8,10-Tetraoxaspiro[5.5]undecane, 3,9-diethenyl-",,C11H16O4,,,,
10410,28697-53-2,D-Arabinopyranose,,C5H10O5,,,,
10411,28701-67-9,"1-Propanamine, 3-(isodecyloxy)-, acetate",,C13H29NO.C2H4O2,,,,
10412,28706-19-6,"1,5-Naphthalenedisulfonic acid, 3-[[4-[[[[2-methoxy-4-[(3-sulfophenyl)azo]phenyl]amino]carbonyl]amino]-2-methylphenyl]azo]-, trisodium salt",,C31H26N6O11S3.3Na,,,,
10413,28706-25-4,"2-Naphthalenesulfonic acid, 7,7'-ureylenebis[4-hydroxy-3-[(6-sulfo-2-naphthyl)azo]-, tetrasodium salt",,C41H28N6O15S4.4Na,,,,
10414,28706-33-4,"2-Naphthalenesulfonic acid, 7,7'-(carbonyldiimino)bis[4-hydroxy-3-[(2-methyl-4-sulfophenyl)azo]-, tetrasodium salt",,C35H28N6O15S4.4Na,,,,
10415,28706-44-7,"Ethanaminium, N,N-bis(2-hydroxyethyl)-N-methyl-2-[(1-oxooctadecyl)oxy]-, methyl sulfate (salt)",,C25H52NO4.CH3O4S,,,,
10416,28719-79-1,"2,5,8-Triazonianonane, 1,9-dicarboxy-5-(carboxymethyl)-2,2,5,8,8-pentamethyl-, trichloride, trioctadecyl ester",,C69H140N3O6.3Cl,,,,
10417,28722-25-0,"Butanoic acid, 3-oxo-, thiodi-2,1-ethanediyl ester",,C12H18O6S,,,,
10418,6272-74-8,"Pyridinium, 1-[2-oxo-2-[[2-[(1-oxododecyl)oxy]ethyl]amino]ethyl]-, chloride",,C21H35N2O3.Cl,,,,
10419,6280-96-2,"Phenol, 2-propoxy-",,C9H12O2,,,,
1042,78-21-7,"Morpholinium, 4-ethyl-4-hexadecyl-, ethyl sulfate",,C22H46NO.C2H5O4S,,,,
10420,6281-40-9,"Hexanoic acid, 3-phenylpropyl ester",,C15H22O2,,,,
10421,6283-25-6,"Benzenamine, 2-chloro-5-nitro-",,C6H5ClN2O2,,,,
