CR No.,CAS No,Chemical Name,AICIS Approved Chemical Name (AACN),Molecular Formula,Defined Scope Of Assessment,Conditions Of Use,Specific Information Requirement,Prescribed Information
10091,6915-15-7,"Butanedioic acid, 2-hydroxy-",,C4H6O5,,,,
10092,6917-35-7,Inositol,,C6H12O6,,,,
10093,6917-76-6,"Silane, chloroethyldimethyl-",,C4H11ClSi,,,,
10094,6920-22-5,"1,2-Hexanediol",,C6H14O2,,,,
10095,6920-24-7,"1,2-Hexadecanediol",,C16H34O2,,,,
10097,6925-69-5,12H-Phthaloperin-12-one,,C18H10N2O,,,,
10098,6926-73-4,"Trisulfide, bis(diethoxyphosphinothioyl)",,C8H20O4P2S5,,,,
10099,6928-85-4,"1-Piperazinamine, 4-methyl-",,C5H13N3,,,,
101,,"Toluene-2,4-diisocyanate, polymer with 2-hydroxyethyl methacrylate, trimethlyolpropane, propxylate, and polypropylene glycol, trimethylolpropane ether",,,,,,
10100,6931-54-0,"Spiro[bicyclo[3.1.1]heptane-2,2'-oxirane], 6,6-dimethyl-",,C10H16O,,,,
10101,6938-06-3,"3-Pyridinecarboxylic acid, butyl ester",,C10H13NO2,,,,
10102,6938-46-1,"Benzoic acid, 4-methoxy-, pentyl ester",,C13H18O3,,,,
10103,6938-94-9,"Hexanedioic acid, bis(1-methylethyl) ester",,C12H22O4,,,,
10104,6939-35-1,"1(2H)-Naphthalenone, 3,4-dihydro-5-methyl-",,C11H12O,,,,
10105,6940-50-7,"Benzeneacetic acid, 4-bromo-.alpha.-hydroxy-",,C8H7BrO3,,,,
10106,6946-66-3,"Cyclohexaneacetic acid, 1-hydroxy-, 3-methylbutyl ester",,C13H24O3,,,,
10107,6946-90-3,"Hexanoic acid, 2-hydroxyethyl ester",,C8H16O3,,,,
10108,6947-02-0,"Butanoic acid, 3-oxo-, cyclohexyl ester",,C10H16O3,,,,
10109,6949-98-0,"Hexadecanoic acid, 9,10,16-trihydroxy-",,C16H32O5,,,,
1011,77-68-9,"Propanoic acid, 2-methyl-, 3-hydroxy-2,2,4-trimethylpentyl ester",,C12H24O3,,,,
10110,6951-08-2,"1,3-Benzodioxole-5-carboxylic acid, ethyl ester",,C10H10O4,,,,
10111,6952-63-2,"9-Octadecenamide, N-octadecyl-, (Z)-",,C36H71NO,,,,
10112,6956-37-2,"Benzene, (3,3-diethoxypropyl)-",,C13H20O2,,,,
10113,6963-56-0,"Butanoic acid, (4-methoxyphenyl)methyl ester",,C12H16O3,,,,
10114,6964-20-1,"Ethanol, 2,2'-[1,10-decanediylbis(thio)]bis-",,C14H30O2S2,,,,
10115,6969-49-9,"Benzoic acid, 2-hydroxy-, octyl ester",,C15H22O3,,,,
10116,6974-47-6,"2-Propenal, 3-(1,3-benzodioxol-5-yl)-2-methyl-",,C11H10O3,,,,
10117,6975-17-3,"1-Oxaspiro[2.5]octane-2-carboxylic acid, ethyl ester",,C10H16O3,,,,
10118,6975-60-6,"2-Propanone, 1-(2-furanyl)-",,C7H8O2,,,,
10119,6976-37-0,"1,3-Propanediol, 2-[bis(2-hydroxyethyl)amino]-2-(hydroxymethyl)-",,C8H19NO5,,,,
1012,77-70-3,"Butanoic acid, 2-hydroxy-2-methyl-, ethyl ester",,C7H14O3,,,,
10120,6976-72-3,"Hexanoic acid, heptyl ester",,C13H26O2,,,,
10121,6976-93-8,"2-Propenoic acid, 2-methyl-, 2-methoxyethyl ester",,C7H12O3,,,"Obligations to provide information apply. You must tell the Executive Director the volume of introduction, use and end use of the chemical within 20 working days if:

              • the chemical is being introduced for consumer end use except in articles.

",
10122,6983-79-5,"6,6'-Diapo-.pseudo.,.pseudo.-carotenedioic acid, monomethyl ester, 9-cis-",,C25H30O4,,,,
10123,6985-92-8,"Benzoic acid, 2-[[3-[[(2,3-dihydro-2-oxo-1H-benzimidazol-5-yl)amino]carbonyl]-2-hydroxy-1-naphthalenyl]azo]-, methyl ester",,C26H19N5O5,,,,
10124,6985-95-1,"2-Naphthalenecarboxamide, N-(2,3-dihydro-2-oxo-1H-benzimidazol-5-yl)-3-hydroxy-4-[(2-methoxy-4-nitrophenyl)azo]-",,C25H18N6O6,,,,
10125,6986-67-0,"1,3-Dioxane, 5-methyl-2,5-dipropyl-",,C11H22O2,,,,
10126,6990-43-8,"Zinc, bis(O,O-dibutylphosphorodithioato-S,S')-, (T-4)-",,C16H36O4P2S4Zn,,,,
10127,6992-11-6,"2-Naphthalenecarboxamide, 4-[(2,5-dichlorophenyl)azo]-N-(2,3-dihydro-2-oxo-1H-benzimidazol-5-yl)-3-hydroxy-",,C24H15Cl2N5O3,,,,
10128,6994-46-3,"9,10-Anthracenedione, 1,4-bis(ethylamino)-",,C18H18N2O2,,,,
10129,6994-51-0,"Benzenesulfonic acid, 5-(2H-naphtho[1,2-d]triazol-2-yl)-2-(2-phenylethenyl)-, phenyl ester",,C30H21N3O3S,,,,
1013,77-71-4,"2,4-Imidazolidinedione, 5,5-dimethyl-",,C5H8N2O2,,,,
10130,6994-85-0,"9-Octadecenamide, 12-hydroxy-, (Z)-",,C18H35NO2,,,,
10132,7003-56-7,"Dodecanamide, N,N'-1,2-ethanediylbis-",,C26H52N2O2,,,,
10133,7005-47-2,"1-Propanol, 2-(dimethylamino)-2-methyl-",,C6H15NO,,,,
10134,7005-72-3,"Benzene, 1-chloro-4-phenoxy-",,C12H9ClO,,,,
10135,7006-08-8,"Phenazinium, 3,7-diamino-2,8-dimethyl-5-phenyl-",,C20H19N4,,,,
10136,7011-83-8,"2(3H)-Furanone, 5-hexyldihydro-5-methyl-",,C11H20O2,,,,
10137,7018-07-7,"L-Aspartic acid, magnesium salt, hydrate (2:1:4)",,C4H7NO4.2H2O.1/2Mg,,,,
10138,7018-92-0,"2,5-Undecanedione",,C11H20O2,,,,
10139,7020-55-5,"1-Azoniabicyclo[2.2.2]octane, 3-[(hydroxydiphenylacetyl)oxy]-1-methyl-",,C22H26NO3,,,,
1014,77-73-6,"4,7-Methano-1H-indene, 3a,4,7,7a-tetrahydro-",,C10H12,,,,
10140,8022-19-3,"Oils, saffron",,Unspecified,,,,
10141,8022-22-8,"Oils, spikenard",,Unspecified,,,,
10142,8022-24-0,Turtle oil,,Unspecified,,,,
10143,8022-29-5,"Oils, glyceridic, cherry kernel",,Unspecified,,,,
10144,8022-37-5,"Oils, Artemisia",,Unspecified,,,,
10145,8022-43-3,"Oils, canella",,Unspecified,,,,
10146,8022-47-7,"Oils, siam wood",,Unspecified,,,,
10147,8022-48-8,"Waxes and waxy substances, esparto",,Unspecified,,,,
10148,8022-56-8,Sage oil,,Unspecified,,,,
10149,8022-72-8,Melaleuca oil,,Unspecified,,,,
1015,77-75-8,"1-Pentyn-3-ol, 3-methyl-",,C6H10O,,,,
10150,8022-79-5,"Oils, verbena, Spanish",,Unspecified,,,,
10151,8022-80-8,"Civet (secretion), synthetic",,Unspecified,,,,
10152,8022-81-9,"Oils, boldo leaf",,Unspecified,,,,
10153,8022-91-1,"Oils, ho-sho",,Unspecified,,,,
10154,8022-96-6,"Oils, jasmine",,Unspecified,,,,
10155,8023-31-2,"Cyclohexanone, 2,2,6-trimethyl-, mixture with 1-phenylethanone",,C9H16O.C8H8O,,,,
10156,8023-64-1,"Balsams, Peru, white",,Unspecified,,,,
10157,8023-70-9,Lycopodium (powder),,Unspecified,,,,
10158,8023-73-2,"Oils, melilot",,Unspecified,,,,
10159,8023-74-3,Mink oil,,Unspecified,,,,
1016,77-76-9,"Propane, 2,2-dimethoxy-",,C5H12O2,,,,
10160,8023-75-4,"Oils, jonquil",,Unspecified,,,,
10161,8023-76-5,"Oils, orris, resinoid",,Unspecified,,,,
10162,8023-77-6,"Resins, oleo-, capsicum",,Unspecified,,,,
10163,8023-78-7,"Resins, oleo-, vanilla bean",,Unspecified,,,,
10164,8023-79-8,Palm kernel oil,,Unspecified,,,,
10165,8023-80-1,"Oils, scotch broom",,Unspecified,,,,
10166,8023-82-3,"Oils, cassie",,Unspecified,,,,
10167,8023-83-4,"Oils, castoreum",,Unspecified,,,,
10168,8023-84-5,"Oils, catnip",,Unspecified,,,,
10169,8023-85-6,"Oils, cedarwood, Atlas",,Unspecified,,,,
1017,77-77-0,"Ethene, 1,1'-sulfonylbis-",,C4H6O2S,,,,
10170,8023-88-9,"Oils, costus",,Unspecified,,,,
10171,8023-89-0,"Oils, Manila elemi",,Unspecified,,,,
10172,8023-91-4,"Oils, galbanum",,Unspecified,,,,
10173,8023-92-5,"Oils, gingergrass",,Unspecified,,,,
10174,8023-93-6,"Oils, honeysuckle",,Unspecified,,,,
10175,8023-94-7,"Oils, hyacinth",,Unspecified,,,,
10176,8023-95-8,"Oils, immortelle",,Unspecified,,,,
10177,8023-99-2,"Oils, pine, Pinussylvestris",,Unspecified,,,,
10178,8024-00-8,"Oils, savin",,Unspecified,,,,
10179,8024-01-9,"Oils, styrax",,Unspecified,,,,
1018,77-78-1,"Sulfuric acid, dimethyl ester",,C2H6O4S,,,,
10180,8024-02-0,"Oils, ti-tree",,Unspecified,,,,
10181,8024-03-1,"Oils, tolu balsam",,Unspecified,,,,
10182,8024-04-2,Tonka bean oil,,Unspecified,,,,
10183,8024-05-3,"Oils, tuberose",,Unspecified,,,,
10184,8024-06-4,"Oils, vanilla",,Unspecified,,,,
10185,8024-08-6,"Oils, violet leaf",,Unspecified,,,,
10186,8024-09-7,"Oils, walnut",,Unspecified,,,,
10187,8024-11-1,"Oils, wormseed",,Unspecified,,,,
10188,8024-12-2,"Oils, verbena",,Unspecified,,,,
10189,8024-14-4,"Oils, liatris",,Unspecified,,,,
